Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
1	Frei nach dem Sprichwort Wem gehort die Welt?	fur Ohren	Garant	fur Augen	fur Gansehaut	C	SPRACHE
2	Aus welchem Material besteht Andersens standhafter Spielzeugsoldat?	Sie	fuhren	Kupfer	Bronze-	B	LITERATUR
3	Wie heisst der Film mit Michael J. Fox in der Hauptrolle: "Zuruck zu …"	in die Vergangenheit	in die Gegenwart	in die Zukunft	in die Steinzeit	C	FILM
4	Welche Art von Essen ist Baklava?	Lammbraten	Kuchen	Suppe	Ziegenkase	B	KuCHE
5	Wann offnen die Augen neugeborener Katzchen?	nach einem Tag	ca. nach anderthalb wochen	ca. nach drei wochen	nach einem Monat	B	BIOLOGIE
6	Wie oft regierte der letzte franzosische Konig namens Louis, der 1824 starb, als Louis?	XV.	XVI.	XVIII.	XVIII	D	GESCHICHTE
7	Petruschka ist die Figur welchen Puppentheaters?	Russisch	Polieren	slowakisch	Tschechisch	A	ALLGEMEINES
1	Wie nennt man frivole, lacherliche Vorgange und Ereignisse?	Katzendrama	Hundekomodie	Neuling Oper	Frosch Operette	B	ALLGEMEINES
2	Was ist der sprichwortliche Spiegel der Seele?	der Appetit	das Lachen	Auge	Haltung	C	ALLGEMEINES
3	Welcher der folgenden ist ein westafrikanischer Affe?	Mamba	Mandala	Mandrill	Mangroven	C	BIOLOGIE
4	Wer hat bei dem Film His Occupation: Reporter Regie gefuhrt?	Roman Polansky	François Truffaut	Francis Ford Coppola	Michelangelo Antonioni	D	FILM
5	Bei welcher Produktion entsteht Melasse als Nebenprodukt?	Zucker	Reifen	Zement	Stahl	A	WISSENSCHAFT
6	Welches Imperium wurde von 9-10 regiert. Leo der Weise um die Jahrhundertwende?	Byzantinisch	Russisch	Franc	Deutsch-romisch	A	GESCHICHTE
7	Welcher der folgenden ist nicht der Titel von Jozsef Attilas Gedicht?	Luft!	An der Donau	Klarheit!	Das Inventar ist fertig	C	LITERATUR
1	Wie druckt ein Witz aus, dass etwas selbstverstandlich ist?	Sauber wie ein Schweinsfuss	Hell wie eine Jalousie	Matschig wie der Wein vom letzten Jahr	Verzerrt wie ein venezianischer Spiegel	B	ALLGEMEINES
2	Welches ist eine der Zutaten des franzosischen Salats?	Meerrettich	Rote Beete	Mayonnaise	Dill	C	KuCHE
3	Warum kann der kleine Wal namens Peter nach Devecseris Kindergedicht nicht zum Ball gehen?	er hat die Lektion nicht geschrieben	es ist kein Kilometer mehr ubrig	er steht unter hausarrest	er kann nicht tanzen	B	LITERATUR
4	Wie hiess die Pfeife?	schlampig	Stangen	Szekely	Turkisch	D	OPER
5	Wer ist das alteste Mitglied der weltberuhmten amerikanischen Fonda-Schauspieldynastie?	Jane Fonda	Heinrich Fonda	Peter Fonda	Bridget Fonda	B	FILM
6	Wie oft war Sandor Wekerle Premierminister von Ungarn?	einmal	zweimal	drei Mal	vier Mal	C	GESCHICHTE
7	Welches Wort ist nach den ungarischen Rechtschreibregeln falsch geschrieben?	Fotozelle	Fotomodell	Fotojournalist	Fotografie	C	SPRACHE
8	Um wen geht es in Somerset Maughams Roman The Devil's Spur?	uber van Gogh	uber Gauguin	uber Rimbaud	uber Baudelaire	B	LITERATUR
9	Zedern sind Verwandte welcher Pflanze?	Larche	Stieleiche	Buche	Susse Kastanie	A	BIOLOGIE
10	Welchen Beruf hatte der bekannte Dichter Mihaly Tompa?	Soldat	Arzt	Anwalt	reformierter Pfarrer	D	ALLGEMEINES
11	Wer besiegte das III. Heinrich der Kaiser des Heiligen Romischen Reiches?	Bela I	II. Bela	III. Bela	BOGEN. Bela	A	GESCHICHTE
12	Welches Stuck von Shakespeare wurde von Sandor Petofi ubersetzt?	Weiler	Koriolan	Viel Larm um nichts	Julius Caesar	B	LITERATUR
13	Aus wessen Roman hat Milos Forman seinen Film Valmont gemacht?	Choderlos de Laclos	Denis Diderot	Restif de la Bretonne	emile Verhaeren	A	FILM
1	Welche "Beschneidung" ist der Name einer Suppennudel?	Kabel	Schnur	Faden	Kabel	C	KuCHE
2	Wer befasst sich mit der Analyse von Bevolkerungsdaten?	Sie sind Demagogen	Demiurgen	Demografen	Demonstranten	C	ALLGEMEINES
3	Welches ist die Maltechnik, deren Vertreter kleine Gegenstande auf die Bilder kleben?	Binde	Grill	Collage	Massage	C	KUNST
4	Welches der folgenden Tiere ist ein Paarhufer?	Nashorn	Schiessen	Esel	Delikt	D	BIOLOGIE
5	Was war der Ursprung des beruhmten Dramatikers Lope de Vega?	Portugiesisch	Spanisch	Mexikaner	Kubanisch	B	LITERATUR
6	Wer war der habsburgische Herrscher unter den folgenden ungarischen Konigen?	Andras I	Ludwig I	Laszlo I	BOGEN. Karl	D	GESCHICHTE
7	In welcher ungarischen Stadt befindet sich das Deri-Museum?	Szolnok	Bekescsaba	in Debrecen	Miskolc	C	UNGARN
8	Franco Zeffirelli hat keinen Film gedreht, aus dem Shakespeare spielt?	Romeo und Julia	Dumme Dame	Weiler	Konig Lear	D	FILM
1	Wie druckt der Spruch aus, dass sich jemand sehr geschmeichelt fuhlt?	wie das Einreiben mit atherischem ol	wie mit Fett massiert zu werden	wie mit Haut verschmiert	als wurde ich mich mit einem Kissen zudecken	C	SPRACHE
2	Was wunscht sich jemand, der sich nach Camembert sehnt?	Rotwein	Kase	Zwiebelsuppe	Sekt	B	KuCHE
3	Was ist eine Hunderasse?	Livorno	von Lipica	Gestell	Gipfel	D	BIOLOGIE
4	Wie heisst der Film von Peter Bacso: "Du Lump..."	Geld	Leben	Fusstuch	Seele	B	FILM
5	Welche Naturgeschichte steckt im Titel von Lajos Nagys humorvollem Werk?	kann	unfahig	nutzlich	nicht zu gebrauchen	B	LITERATUR
6	Wie hiess fruher der Monat Marz?	verspateter Schnee Schnee	Fruhling wartet auf Schnee	Karneval Schnee	Fasten Schnee	D	SPRACHE
1	Wie heisst ein Geback?	geteiltes Brotchen	lassiger Linzer	topisbuka	Lappenkeks	D	KuCHE
2	Was passiert mit einem Tier, wenn es hautet?	bringt Nachkommen zur Welt	es wirft die oberste Schicht seiner Haut ab	speichert Lebensmittel	erwacht aus dem Winterschlaf	B	BIOLOGIE
3	Warum steht "drei Tage" im Titel des Films mit Robert Redford?	Falke	Geier	Adler	schlucken	B	FILM
4	Welche Stadt war im XVII. das Globe Theatre zu Beginn des Jahrhunderts?	Berlin	Lissabon	Paris	London	D	THEATER
5	Wie hiessen im alten Rom die Soldaten, die am Ende ihres Dienstes in den Ruhestand gingen?	Sie sind suss	sie sind fettleibig	Veteranen	Papste	C	GESCHICHTE
6	In welchem Alter wurde Napoleon Bonaparte General?	24	38	48	54	A	GESCHICHTE
7	Wer ist der Protagonist von Geza Gardonyis "Der unsichtbare Mann"?	Kartal	Kleben Sie es	Zeta	Jutos	C	LITERATUR
8	Welcher Pierrot steckt im Titel des weltberuhmten Films von Jean-Luc Godard?	tauschen	Bohemien	Weiss	kariert	A	FILM
9	In welcher Mozart-Oper kommt die Konigin der Nacht vor?	Die Hochzeit des Figaro	Flucht aus dem Harem	Die magische Flote	Don Giovanni	C	OPER
10	Dominique Ingres hat sich in welchem Malstil hervorgetan?	Barock-	Klassizismus	Impressionismus	Surrealismus	B	BILDENDE KUNST
1	Was fur ein "Zirkus" war der Name einer Jahrmarktsshow?	Sauerampfer	Floh	Moskito	bei	B	ALLGEMEINES
2	Wo bin ich mit dem halben Geld hin, laut Volkslied?	zum Nachbarn	zum Pub	zum Wald	zur Messe	D	LITERATUR
3	Was machst du, wenn du Origami als Hobby hast?	Seide farben	mit Papierfaltung	mit Holzschnitzerei	mit orientalischer Kampfkunst	B	ALLGEMEINES
4	Wie lautet der Titel des beruhmten Films mit Sophia Loren: "Eine Frau..."	und ihr Ehemann	und seine Tochter	und ein Mann	Geruch	B	FILM
5	Welche Spirituose ist die Basis des Bloody Mary Cocktails?	Rum	Wodka	Whiskey	Gin	B	KuCHE
6	Wann war die erste Astronautin im Weltraum?	1963	im Jahr 1968	1971	1975	A	ALLGEMEINES
1	Was macht eine Person, die pinkelt?	er futtert huhner	Eier legen	es wird zart	pfluckt Hanfsamen	C	SPRACHE
2	Woher kommen wir laut dem Namen des beliebten Brettspiels?	Aus Angola	Aus England	Von Amerika	Aus Australien	C	SPIEL
3	Wie lautet der Titel eines Spionagefilms mit Donald Sutherland?	Jungfrau im Heuhaufen	Eine Nadel im Heuhaufen	Linsen in der Asche	Torte im Weizen	B	FILM
4	Woher hat die Farbe Ebenholz ihren Namen?	eines Susswasserfisches	von einem tropischen Baum	uber einen mythischen Helden	eines Kaffeestrauchs	B	SPRACHE
5	Welche Stadt war der Richter von Robin Hoods erbittertem Feind?	Manchester	Nottingham	York	Birmingham	B	LITERATUR
6	Wohin emigrierte Jozsef Bem nach dem ungarischen Unabhangigkeitskrieg?	nach Frankreich	zur Turkei	nach Piemont	nach Polen	B	GESCHICHTE
7	Welcher griechische Held gottlichen Ursprungs wurde unsterblich, indem er sich von seinem Scheiterhaufen in den Himmel erhob?	Eurydike	Fur Winter-Machos	Kharon	Herakles	D	RELIGION
1	Welches hat eine Kuchen- und Fleischschneideversion?	Breitschwert	Barde	Beil	jatagan	B	KuCHE
2	Welche Art von Soldat wurde Rekrut genannt?	Anfanger	Demontage	ein Deserteur	Freiwillige	A	SPRACHE
3	Wo geht der hin, der auf den Rasen geht?	zur Bank	zum Kasino	an die Borse	zur Rennstrecke	D	SPRACHE
4	Was ist der gebrauchliche Name fur Ascorbinsaure?	Aminosaure	Salzsaure	Vitamin C	Methan	C	WISSENSCHAFT
5	Was ist laut Hamlet "Name der Frau"?	Gemeinheit	Kavaliersdelikt	Lust	Nichtigkeit	B	LITERATUR
6	Welcher Film gewann 2001 den Oscar fur den besten Film?	Schokolade	Gladiator	Tiger und Drache	Verkehr	B	FILM
7	Was macht Tamas Ascher?	Direktor	Opernsanger	Balletttanzer	Maler	A	KUNST
8	Was ist die vorherrschende Religion auf den Philippinen?	Hindu-	islamisch	Buddhist	katholisch	D	RELIGION
1	Wie hiessen die sachkundigen Frauen, die sich mit den Kunsten beschaftigten?	grune Spitze	blaue Strumpfe	lila Overall	rote Mutze	B	ALLGEMEINES
2	Was fur ein Fahrzeug haben Sie?	Kampfflugzeug	Kriegsschiff	U-Boot	Panzer	B	TECHNIK
3	Was fur ein Marchenheld steckt im Werk von Jeno Jozsi Misi Tersanszky?	Bar	Eichhornchen	Zwerg	Drachen	B	LITERATUR
4	Wie heisst der Film von Steven Spielberg: "Indiana Jones and the Doom…"	seine Frau	Kirche	Energie	Peitsche	B	FILM
5	Wie ist dein Baum?	laut	langweilig	verstreut	Traumer	B	SPRACHE
6	Welche Siedlung liegt nicht am Sudufer des Plattensees?	Fonyod	Badacson	Zamardi	Siofok	B	ERDKUNDE
7	Welcher ungarische Schiedsrichter gewann als Fussballer eine olympische Goldmedaille?	Karoly Palotai	Laszlo Vagner	Alexander Puhl	Istvan Zsolt	A	SPORT
8	Janos Husz, der als Ketzer verbrannt wurde, war Lehrer an der Universitat welcher Stadt?	Paris	Prag	Bologna	Oxford	B	GESCHICHTE
9	Wo ist ein Bilux-Licht in einem Auto?	im Index	im Scheinwerfer	im Ruckfahrlicht	in der Innenbeleuchtung	B	TECHNIK
10	Welche Rockband hat den Soundtrack zum Antonioni-Film "Zabriskie Point" geschrieben?	Led Zeppelin	Pink Floyd	Dire Straits	Ja	B	FILM
1	Wie nennt man eine gefrassige Person?	Nabel	Magen dreht sich um	Magen Spinne	Abfuhrmittel	C	ALLGEMEINES
2	Was fur ein Wort steckt im Titel von Endre Adys Gedicht?	koniglich	zahlen	Spanisch	Pfalz	B	LITERATUR
3	In welcher Kunst wurde Gyorgy Solti weltberuhmt?	Skulptur	Malerei	Filmkunst	Musik Kunst	D	KUNST
4	Auf welchem Kontinent liegt Swasiland?	Afrika	Australien und Ozeanien	Asien	Sudamerika	A	ERDKUNDE
5	Wann ist die Herbst-Tagundnachtgleiche auf der Nordhalbkugel?	23.09	27.09	23. Oktober	27. Oktober	A	WISSENSCHAFT
6	In welcher Oper wird der Summchor aufgefuhrt?	Verdi: Traviata	Puccini: Fraulein Schmetterling	Mascagni: Bauernehre	Rossini: Vilmos Tell	B	OPER
1	Was tut, so das Sprichwort, jemand, der einen gehorten oder gelernten Text monoton wiederholt?	Kuckuck	Lerche Schale	Gehorgang	Papagei	D	ALLGEMEINES
2	Welche der folgenden Aussagen konnen "stentorisch" sein?	Stimme	Horen	Schweigen	Aufschub	A	ALLGEMEINES
3	Wo halt Petofi laut Gedicht beim Sonnenuntergang eines Sommertages an?	vor dem Familientor	unter dem Fenster ihres Babys	an der gewundenen Theiss	in einem wilden Kiefernwald	C	LITERATUR
4	Wer wird in dem gemeinsamen Film von Tom Cruise und Brad Pitt interviewt?	mit einer Mumie	mit einem Vampir	mit einem Werwolf	mit einem Golem	B	FILM
5	Wessen Herrscher war Karoly der Kahle?	Englander	Wikinger	Franken	Byzantiner	C	GESCHICHTE
6	Wo ist Roswell, beruhmt fur den angeblichen UFO-Absturz?	in Kanada	In Grossbritannien	in Australien	in den USA	D	ALLGEMEINES
7	Wer schrieb das Klavierstuck Ungarische Rhapsodie?	Franz Liszt	Johannes Brahms	Bela Bartok	Erno Dohnanyi	A	OPER
8	Welche beruhmte ungarische historische Personlichkeit wurde in Abwesenheit zum Tode verurteilt?	Ferenc Deak	das Alter Gyulat Andrassy	Jozsef Eotvos	Janos Irinyi	B	GESCHICHTE
9	Welche Nationalitat hat die Rockband U2?	irisch	australisch	Englisch	amerikanisch	A	MUSIK
1	Was sieht der Blinde laut Sprichwort nicht?	die Wiese von Mohnblumen	die Rose aus dem Dorn	das Pferd aus Hafer	der Wald von den Baumen	D	SPRACHE
2	Welche priesterliche Wurde kann das Symbol der Farbe Lila sein?	Bischof	Kaplan	kapitellos	Erzbischof	A	RELIGION
3	In welcher Kunstform wurde Zoltan Kocsis weltberuhmt?	Musik	Malerei	Filmkunst	die Architektur	A	KUNST
4	Wer war Delilahs Liebhaber in der Bibel?	David	Samson	Moses	Joseph	B	RELIGION
5	Welches Land ist Monacos einziger Nachbar?	Italien	Spanien	Frankreich	Schweiz	C	ERDKUNDE
6	Welches der folgenden Gesteine ist nicht vulkanischen Ursprungs?	Andesit	Basalt	Marmor	Tuff	C	ERDKUNDE
7	orzse ist die Mutter der Hauptfigur in welchem musikalischen Buhnenstuck?	Jeno Huszka: Prinz Bob	Zoltan Kodaly: Janos Hary	Ferenc Erkel: Gyorgy Dozsa	Kacsoh Pongrac: Tapferer Janos	B	OPER
8	Wie lautet der Titel eines beruhmten Hitchcock-Films?	Haustur	Hinteres Fenster	Zugang zum Dachgeschoss	Blindes Fenster	B	FILM
9	Wer war der deutsche Bundeskanzler bei den Olympischen Spielen 1972 in Munchen?	Willi Brandt	Konrad Adenauer	Helmut Schmidt	Helmut Kohl	A	GESCHICHTE
10	Die Skyline welcher Stadt ist auf dem Zehntausend-HUF-Schein abgebildet?	Buddha	Esztergom	Maus	Schlammiger Bach	B	ALLGEMEINES
11	Was war die russische Masseinheit Pud, die verwendet wurde, um zu messen?	Tonnage	Lange	Gewicht	Bereich	C	WISSENSCHAFT
12	Welcher der folgenden hat nicht den Oscar fur den besten Film gewonnen?	Jetzt und fur immer	Manche Leute mogen es heiss	Der Klang von Musik	In 80 Tagen um die Erde	B	FILM
13	Wann wurde das Museum of Fine Arts offiziell eroffnet?	in der Reformzeit	im Jahr der Ansiedlung	das XX zu Beginn des Jahrhunderts	der II. nach dem Zweiten Weltkrieg	C	ALLGEMEINES
14	Welche der folgenden Opern gehort nicht zu Puccinis Triptychon?	Der Umhang	Tochter des Westens	Schwester Angelika	Gianni Schicchi	B	OPER
15	Wer hiess in Siebenburgen Kenez?	der Dorfrichter	der Dorfpfarrer	der Dorflehrer	die Dorfgendarmerie	A	SPRACHE
1	Welches Holz wird zum Stutzen und Befestigen von Eisenbahnschienen verwendet?	Scham	Sperrholz	Schlafer	Satrapenbaum	C	ALLGEMEINES
2	Wer verwendet die Palette beim Erstellen?	Kupferschmiede	Dichter	Maler	Komponisten	C	ALLGEMEINES
3	Wo laichen laut Volkslied viele Fische?	in der Donau	am Plattensee	in der Theiss	im Venedigsee	B	LITERATUR
4	Das Parlament welchen Staates ist die Duma?	Bulgarien	Polen	Russland	Rumanien	C	ALLGEMEINES
5	Welches der folgenden Lebensmittel ist einer der Inhaltsstoffe von Vogelmilch?	Huttenkase	Ei	Nussbaum	Marmelade	B	KuCHE
6	Welches der folgenden nordeuropaischen Lander ist keine konstitutionelle Monarchie?	Danemark	Norwegen	Schweden	Island	D	LaNDER
7	uber welche historische Figur hat Aram Khachaturja ein Ballett geschrieben?	Napoleon	Spartakus	Miltiaden	Kolumbus	B	KUNST
8	Welche Experimente fanden im Bikini-Atoll statt?	Amerikanische Atombombe	Franzosische Ornithologie	meeresbiologisch	Erdbebenforschung	A	WISSENSCHAFT
9	An welchem Fluss liegt Turin?	Piave	Arno	Poe	Tever	C	ERDKUNDE
1	Wo, so das Sprichwort, lebt der Feinschmecker?	auch in einer Barenhohle	auch in einem Rudel Wolfe	auch auf der Ruckseite des Eises	sogar mit einer verheirateten Frau	C	SPRACHE
2	Der Volksmund sagt, von welchem Himmelskorper wird der Schlafwandler krankhaft angezogen?	Zum Mond	Fur den Tag	Zur Venus	Zum Mars	A	ALLGEMEINES
3	Welche Oper uber "Ehre" hat Mascagni geschrieben?	Arbeiter	verbieten	Frau	Bauer	D	OPER
4	Was benutzten Frauen im 19. Jahrhundert? Jahrhundert das Gemuse?	als Kleidungsstuck getragen	sie haben darin gekocht	Sitzungen abzuhalten	Musik zu machen	A	SPRACHE
5	Wo kann man den archaologischen Fund namens Lehels Horn besichtigen?	in Veszprem	in Jaszbereny	in Debrecen	in Sopron	B	UNGARN
6	Eusebio war Mitglied der Nationalmannschaft welchen Landes?	Portugal	Spanien	Brasilien	Argentinien	A	SPORT
1	Wie druckt der Spruch aus, dass sich jemand ausgezahlt hat?	Er hat den falschen Windhund gelaufen	Er hat das falsche Kaninchen erschossen	Er hat mich auf das falsche Pferd gesetzt	Er hat den falschen Baren belastigt	C	SPRACHE
2	In welchem Organ sitzt die Iris?	Ohr	Herz	Auge	Gehirn	C	BIOLOGIE
3	Was tragt eine Frau?	Nagel	ihre Haare	Hand	Augenlider	B	ALLGEMEINES
4	Wer war der nationale Verteidigungsminister der Antall-Regierung?	Geza Jeszenszky	Lajos Fur	Georg Keleti	Gyorgy Szabad	B	GESCHICHTE
5	Welche Band wurde von Rezso Soltesz gegrundet?	aussern	Apostel	Corvina	Neoton	C	MUSIK
6	Wer gewann 2001 den Oscar als beste Hauptdarstellerin?	Sharon stone	Julia Roberts	Kim Basinger	Juliette Binoche	B	FILM
7	Wie viele Punkte sollten Sie in dem Kartenspiel namens Einundzwanzig nicht stoppen?	15	16	17	18	A	SPIEL
8	In welcher Band spielten Peter Gabriel und Phil Collins?	Pink Floyd	Ja	Genesis	Dire Straits	C	MUSIK
1	Wie ist ein anderer Name fur deinen Saufkumpan?	Bier Bruder	Bier Schwager	Geistiger Bruder	Spritzen	C	ALLGEMEINES
2	Was fur eine Person nennt der Volksmund eine Kugel?	pummelig	einfach	er ist glatzkopfig	clever	B	SPRACHE
3	Polonium wurde nach welchem Land benannt?	Portugal	Polen	Tschechische Republik	Frankreich	B	WISSENSCHAFT
4	Welche Nationalitat hatte Ayrton Senna, der Formel-1-Fahrer, der unter tragischen Umstanden ums Leben kam?	Spanisch	Argentinien	Italienisch	Brasilianisch	D	SPORT
5	Wer wurde 1704 zum Fursten von Siebenburgen gewahlt?	Janos Kemeny	Imret Thokoly	II. Apafi Mihalyt	II. Ferenc Rakoczi	D	GESCHICHTE
6	Welcher Apostel tauchte seine Finger in Jesu Wunden, um seine Auferstehung zu bestatigen?	Peter	Jakab	Thomas	Andreas	C	RELIGION
7	Welche Tiere sind Gurteltiere?	Fische	Vogel	Krabben	Reptilien	A	BIOLOGIE
1	Nach welchem Insekt ist eine schwimmende Gattung benannt?	Heuschrecke	Ameise	Schmetterling	Wespe	C	SPORT
2	Wie viel Grad haben die Innenwinkel eines gleichseitigen Dreiecks?	180	60	90	45	B	WISSENSCHAFT
3	Der Roman Tamas batya kunyhoja ist eng mit dem Burgerkrieg welcher Nation verbunden?	amerikanisch	Englisch	Spanisch	Russisch	A	LITERATUR
4	Wie konnen sich einzelne Einzeller fortbewegen?	mit einer Ente	mit Ranke	mit Wimpern	mit Tentakel	C	BIOLOGIE
5	Was fur eine Suppe macht jemand, der Blumenkohlsuppe kocht?	Brokkoli	Blumenkohl	Kohlrabi	Kohl	B	KuCHE
6	Die Ruinen des antiken Karthago befinden sich auf dem Territorium welchen heutigen Staates?	Griechenland	Libyen	Truthahn	Tunesien	D	GESCHICHTE
7	Geometrische Formen sind die typischen Darstellungsmittel welcher bildenden Kunstrichtung?	Eklektizismus	Fauvismus	Kubismus	Aktivismus	C	KUNST
1	Wie heisst anstossige, gefalschte Musik?	Hunde Musik	Schwein Musik	Katzenmusik	Schafe Musik	C	ALLGEMEINES
2	Welche Tiere haben Hocker?	fur Vogel	fur Fisch	fur Amphibien	fur Reptilien	A	BIOLOGIE
3	Welches der folgenden Lander hat keine Kuste?	Albanien	Bulgarien	Slowenien	Mazedonien	D	ERDKUNDE
4	Welcher Ausdruck wird wahrend eines Katy-Spiels verwendet?	Banzai	Buggy	Party	Spree	C	SPIEL
5	Welcher ungarische Konig eroberte Wien?	Laszlo I	II. Andreas	Ludwig der Grosse	Mathias	D	GESCHICHTE
6	Was ist das zentrale Thema des Epos Die Ilias?	die suche nach dem goldenen vlies	Aufstand der Titanen	die Geburt der Gotter	Belagerung von Troja	D	LITERATUR
7	Auf wessen Album ist der Track Lovolde ter?	Gabor Presser	Demnachst	Andras Kern	Peter Geszti	C	MUSIK
8	Wessen Taufe zeigt das beruhmte Gemalde von Gyula Benczur?	Jesus	St. Johannes	Butter	Fur Saint-Gellert	C	KUNST
9	In welchem Land dienten die Pfeifer?	China	Indien	Japan	agypten	B	GESCHICHTE
10	In welcher Verdi-Oper wird das beruhmte Freiheitsduett aufgefuhrt?	Aida	Der Troubadour	Don Carlos	Nabuk	C	OPER
1	Wie verstreut der sprichwortlich unverantwortliche Spender sein Geld?	linke Hand	mit der rechten Hand	mit behandschuhten Handen	mit zwei Handen	D	ALLGEMEINES
2	Warum ist es laut Volkslied "gut, jetzt Soldat zu sein"?	weil der Krieg vorbei ist	weil die Uniform neu ist	weil sie fur Kossuth rekrutieren	weil der Kapitan heiratet	C	SPRACHE
3	Wie heissen unverkaufte Exemplare im Magazin?	Abdruck	uberweisung	Rezension	Referendum	B	ALLGEMEINES
4	In welchem Land liegt Kapland?	Argentinien	Australien	Republik von sudafrika	Indien	C	ERDKUNDE
5	In welcher Sportart wurde das Ehepaar Jonyer-Klampar Weltmeister?	Tennis	Eiskunstlauf	Tischtennis	Kajak Kanu	C	SPORT
6	Das Wahrzeichen welcher Stadt ist die riesige Christusstatue mit ausgebreiteten Armen?	Manila	Buenos Aires	Rio de Janeiro	Veracruz	C	LaNDER
7	Welcher Filmheld wurde von Harrison Ford gepragt?	Obi Wan Kenobi	Indiana Jones	Hercule Poirot	Ben Hur	B	FILM
8	Der Roman "Mein Vater" ist die Erinnerung an die Tochter welchen beruhmten Schriftstellers?	Laszlo Nemeth	Zsigmond Moricz	Gyula Illyes	Ferenc Mora	A	LITERATUR
1	Welches Wort wird im Handel verwendet, um Kase zu bezeichnen?	Schuttgut	hat es ruiniert	gestanzt	pochiert	A	KuCHE
2	Wie haben die Indianer das Kanu gebaut?	Sie wurden aus Ton gebrannt	aus einem Baumstamm ausgehohlt	Schilf wurde zusammengebunden	aus Palmblattern gewebt	B	ALLGEMEINES
3	Welche Werke machten den Franzosen Herve beruhmt?	seine Gemalde	seine Operetten	Mosaik	seine Skulpturen	B	KUNST
