Difficulty	Question	THE	B	C	D	Answer	Category
4	Which celestial body in the Solar System is called the "red planet"?	Jupiter	Venus	Mars	Mercury	C	SCIENCE
5	Where is the sunflower native to?	in Europe	in America	in Africa	in Asia	B	BIOLOGY
6	Who were the founders of Cape Town?	German colonists	Portuguese sailors	Dutch merchants	English pirates	C	HISTORY
1	What does a doubting person do, according to the saying?	he's whining	leans on	he is lying	he's getting sick	B	GENERAL
2	How many players can play robber ult at once?	three	four	five	six	A	GAME
3	In which city was Jesus crucified?	in Bethlehem	In Jerusalem	in Rome	In Nazareth	B	RELIGION
4	Where does the computer store programs?	in the memory	in the memory	in the memoir	in the memorandum	B	TECHNIQUE
5	In which sport did Monspart Sarolta win the world championship in 1972?	archery	bowling	rowing	orienteering	D	SPORTS
6	Who was not a founding member of the Locomotive GT band?	Jozsef Laux	Tamas Barta	Karoly Freinreisz	Tamas Somlo	D	MUSIC
7	What religion's holiday is Purim?	Islamic	Christian	Buddhist	Jewish	D	RELIGION
8	Drinapoly, known from history, is located in the territory of which present-day country?	Greece	Turkey	Italy	Yugoslavia	B	HISTORY
1	Which animal's known species are elk, reindeer and reindeer?	turtle	penguin	flea	deer	D	BIOLOGY
2	What well-known type of food carries the tsecsi label?	bacon	salami	cottage cheese	cheese	A	KITCHEN
3	Which color is not in the flag of Romania?	blue	yellow	red	green	D	COUNTRIES
4	Carbon is the Latin name for which chemical element?	calcium	coal	sulfur	copper	B	SCIENCE
5	Who among the following is not an Austrian composer?	Schubert	Britain	Mahler	Haydn	B	OPERA
6	In which year did Hungary become a full member of NATO?	in 1995	in 1997	in 1999	in 2001	C	HISTORY
7	Erik the Red, the explorer, was one of the well-known representatives of which people?	Sardinian	Celtic	viking	franc	C	HISTORY
8	Which band was Jim Morrison a founding member of?	Genesis	Pink Floyd	Queen	Doors	D	MUSIC
9	In which African country is the Teleki volcano located?	Tanzania	Kenya	Sudan	Nigeria	B	GEOGRAPHY
10	How much is "a third and a half"?	one and a half	Three and a half	Two and a half	half past four	C	GENERAL
1	How many nights did Seherezad tell stories according to the title of the collection of tales?	998	999	1000	1001	D	LITERATURE
2	What kind of work did the Sumerians do?	financial	agricultural	pedagogical	craft industry	B	LANGUAGE
3	In which sport do they break and push?	weight-lifting	bowling	wrestling	gymnastics	A	SPORTS
4	Which hero's role did George Clooney play in the movie?	Robin Hood	Batman	Dick Tracy	Superman	B	MOVIE
5	Which branch of mathematics deals with angular functions?	algebra	trigonometry	functionally	combinatorics	B	SCIENCE
6	Which Hungarian city is called "Calvinist Rome"?	Szeged	Muddy stream	Pope	Debrecen	D	HUNGARY
7	Who wrote a symphonic poem about Mazeppa, the Cossack general?	Rimsky-Korsakov	Ferenc Liszt	Mussorgsky	Richard Strauss	B	OPERA
8	Who founded the French Order of Honor?	XIV. Louis	Napoleon	Philip Lajos	ARC. (of Navarre) Henrik	B	HISTORY
1	How does the saying express that someone belongs to us?	our bear is sorry	the calf of our cow	our hen's chick	our dog's puppy	D	LANGUAGE
2	Which animal's artificial home is the hive?	bees	they growl	wasps	silk moths	A	BIOLOGY
3	What does the jigger do?	play cards	sails	dance	ride	C	LANGUAGE
4	To which country does the island of Corfu belong?	Italy	Turkey	Spain	Greece	D	GEOGRAPHY
5	According to the hotel, what did Goethe ask for on his deathbed?	a glass of water	dissolution	power to the people	more light	D	LITERATURE
6	Which of the following is not a tributary of the Danube?	For him	Hernad	Sio	Ipoly	B	GEOGRAPHY
7	With which film did Marlene Dietrich become world famous?	The blue angel	Blonde Venus	A witness for the prosecution	The female is a devil	A	MOVIE
8	Which author wrote a piece of music entitled Carnival of Animals?	Prokofiev	Richard Strauss	Rimsky-Korsakov	Saint-Saens	D	OPERA
1	What is the name of a species of poisonous mushroom?	mosquito repellent gel	fly swatter	butterfly exterminator	lizard killer galoc	B	BIOLOGY
2	Of which does the person who commits bigamy have more than the law allows?	from house	from a bank account	from a spouse	from a passport	C	GENERAL
3	What is patchouli oil used for?	for perfume production	for cooking	for lighting	for making paints	A	GENERAL
4	What was called our price order?	priestly clothes	thin beam	lease	gendarmerie	C	LANGUAGE
5	What is the capital of Vietnam?	Pyongyang	Hanoi	Ho Chi Minh City	Hai Phong	B	COUNTRIES
6	In which mythology can we find Bacchantes?	Hindu	Germanic	Roman	Celtic	C	RELIGION
7	What kind of building is the cottage?	corn storage	shed	secret brandy distillery	shed	D	LANGUAGE
8	By what name did Beethoven's Sonata in C sharp minor become famous?	Sunbeam	Wraithlight	Windstorm	Moonlight	D	OPERA
9	What is the title of William Friedkin's classic horror film?	Satan Tango	The Exorcist	The fly	The code	B	MOVIE
1	What kind of pig is the small animal kept in the apartment called?	river	maritime	lake	channel	B	BIOLOGY
2	What does someone who buys bread buy?	bread	salami	hour	wooden vessel	A	LANGUAGE
3	In which rock opera is the song "Te kit schoseras?" song beginning with?	Star makers	Attila	Stephen the King	Jesus Christ Superstar	C	MUSIC
4	The Latin name for which metal is aurum?	ratio	aluminum	silver	copper	A	SCIENCE
5	Which of the following is not an Asian capital?	Colombo	Khartoum	Damascus	Islamabad	B	COUNTRIES
1	What do you call a clumsy hunter?	treasure hunter	sow hunter	trap hunter	bounty hunter	B	LANGUAGE
2	What do we call the adjacent sides of a right triangle?	comprehensive	catch	axis	windy	B	SCIENCE
3	What is the title of Jim Carrey and Cameron Diaz's joint film comedy?	The mask	The mask	The mask	The bus	C	MOVIE
4	Which band held its farewell concert at Nyugati railway station?	Pyramid	Phonograph	Locomotive GT	V' Moto-Rock	C	MUSIC
5	What was the name of the national team captain of the Golden Team?	Rudolf Illovszky	Lajos Baroti	Gusztav Sebes	Jozsef Hoffer	C	SPORTS
6	Where did the first Komondors come to the Carpathian Basin?	From North America	From Asia	From Scandinavia	From Scotland	B	BIOLOGY
7	Tapolca, famous for its spring cave, is located in which county?	Veszprem	Somogy	Nograd	Baranya	A	HUNGARY
1	Does the ignorant man know nothing about the state of affairs, as the saying goes?	smoke	steam	bubble	his partner	B	GENERAL
2	Which animal disease is lameness?	dog	cat	Shoot	sheep	C	BIOLOGY
3	Which continent did Miklos Varga sing about in the 80s?	Africa	Europe	America	Asia	B	MUSIC
4	What is the name of the stamen inflorescence of corn?	crest	shit	cocoon	mustache	A	BIOLOGY
5	What material is the golem, the giant statue that can be brought to life according to mythology, made of?	bronze	marble	clay	tree	C	RELIGION
6	Which of the following chemical elements is not present in nitric acid?	oxygen	chlorine	nitrogen	hydrogen	B	SCIENCE
7	Who built Pharaoh Djoser's Saqqara Step Pyramid?	Hammurabi	Imhotep	Akhenaten	Nebuchadnezzar	B	HISTORY
8	Which Hungarian statesman was named iron minister?	Lajos Kossuth	Kalmant Tisza	Teleki Pal	Gabort Baross	D	HISTORY
9	What game does the knight play with Death in Ingmar Bergman's The Seventh Seal?	he plays chess	play cards	dominates	mills	A	MOVIE
1	How do you call a safe in thieves' parlance?	sorry	cat	paci	bear	D	LANGUAGE
2	According to the title of the work, which island is Stevenson's famous youth novel about?	uninhabited	cursed	treasure	tropical	C	LITERATURE
3	Which basic mathematical operation is exponentiation related to?	addition	multiplication	subtraction	division	B	SCIENCE
4	How does ET want to establish a relationship with his companions in the film?	send an email	calls home	He's texting	with space bottle mail	B	MOVIE
5	What does someone who makes yarn make?	chest	bed	fur coat	quilt	A	LANGUAGE
6	Brian Epstein was the manager of which band until his death?	The Rolling Stones	The Beatles	Queen	The Shadows	B	MUSIC
7	On which continent is Patagonia located?	Australia	Africa	Asia	South America	D	GEOGRAPHY
8	Who made the world's second space flight?	John Glenn	German Tyitov	Alexey Leonov	Michael Collins	B	TECHNIQUE
1	What was the little cockerel's hat made of in the well-known fairy tale?	of silver	of gold	of platinum	of diamond	D	LITERATURE
2	What holiday is holding hands?	christening	engagement	birthday	wedding anniversary	B	GENERAL
3	In which film did Bud Spencer and Terence Hill not star together?	A treasure that is not there	There is no two without four	And we get angry again	Piedone, the cop	D	MOVIE
4	What weapon was called a flintlock?	hunting dagger	revolver	rifle	cannon	C	TECHNIQUE
5	How many regular triangles border an octahedron?	4	6	8	12	C	SCIENCE
6	What is the manual keyboard of the organ called?	manual	manuscript	mane	manipulator	A	LANGUAGE
1	What do you jokingly call when one of your body parts goes numb?	he's getting laid	he is dogged	he gets mad	it's going crazy	D	LANGUAGE
2	Which of the following is a pastry made from cake dough?	a tailor	miller's house	blacksmith	colander	B	KITCHEN
3	What does a university student do when he takes a colloquium?	listening to a lecture	changes major	is taking an exam	enrolls	C	LANGUAGE
4	The city of Lcse, also known for its "white woman", is located in the territory of which present-day country?	Croatia	Romania	Slovenia	Slovakia	D	GEOGRAPHY
5	Which band created a big sensation with their song "Babu voyd" at the Dance Song Festival in 1981?	LGT	URG	Ltd	VHK	C	MUSIC
6	Who was the leader of the Greeks at the Battle of Marathon?	Leonidas	Miltiades	Themistocles	Pericles	B	HISTORY
7	Where is the house according to the title of Karoly Makk's famous film?	under elms	under rocks	under hills	under leaves	B	MOVIE
8	Who won the 2001 US Open women's singles final?	Jennifer Capriati	Martina Hingis	Lindsay Davenport	Venus Williams	D	SPORTS
1	What is a person of solid character like?	palmed	footed	brainy	vertebrate	D	LANGUAGE
2	How does the vernacular express it when we underestimate something because we couldn't get it?	Peppers are hot	The pear was withered	The grapes are sour	The apple is a worm	C	LANGUAGE
3	What is sarabolo used for?	for making barrels	for pruning trees	for hoeing	for bell casting	C	GENERAL
4	Which theater building in Budapest is not on the same street?	Budapest Operetta Theatre	Microscope Stage	Radnot Theater	Comedy theater	D	THEATER
5	Which of the following countries does Slovenia not have a border with?	Austria	Yugoslavia	Hungary	Croatia	B	GEOGRAPHY
6	Which occupation is in the title of Zeller's operetta?	fisherman	hunter	canadian	birdwatcher	D	OPERA
7	Which of the following is a non-Germanic language?	frieze	Yiddish	Longobard	sold	D	LANGUAGE
1	How does the saying express when we entrust a task to the wrong person?	the carrot	honey for teddy bear	squirrel the peanuts	the cabbage for the goat	D	LANGUAGE
2	Which word represents a type of flour?	lining	Strudel	fiery	kuglof	B	KITCHEN
3	What is pomade used for?	for face rice powder	as a hair pomade	for nail painting	as jewelry	B	GENERAL
4	A world-famous French scandal is connected to the construction of what?	Suez Canal	Panama Chanel	Eiffel Tower	Center Pompidou	B	GENERAL
5	From which country does Vangelis, the world-famous musician, come?	Spain	Greece	India	Mexico	B	MUSIC
6	What is the main component of dynamite?	potassium sulfate	nitroglycerin	sulfur dioxide	NaCl	B	SCIENCE
7	What profession did Mihaly Munkacsy learn before becoming a painter?	hourly	joiner	barber	notary	B	ART
8	Did Sergei Eisenstein make a historical film about his "knight"?	ice fields	steppes	glaciers	mountain peaks	A	MOVIE
1	What kind of young man is called langaleta?	smart	acne prone	slow	high	D	GENERAL
2	What's out of the bag, as the saying goes, when someone reveals their true goals?	the cat	the angle	the coal	the potatoes	B	LANGUAGE
3	Which tree can be prefixed with "sad"?	oak	acacia	fire	pine	C	GENERAL
4	Why is "romance" in the title of Michael Douglas' adventure film?	emerald	ruby	diamond	Pearl	A	MOVIE
5	In which country is the Masurian Lake Ridge located?	Finland	Italy	Poland	Spain	C	GEOGRAPHY
6	What kind of living things are mages?	marsupial rodents	Pisces	tropical birds	plants	D	BIOLOGY
1	Why can a very gentle person do no harm, according to the saying?	to a wasp	for spiders	to be	for a ladybug	C	LANGUAGE
2	Which of the following is cut with pruning shears?	aluminum	sheep's wool	vine	clothing material	C	GENERAL
3	What kind of Lawrence is the title character in David Lean's classic adventure film?	African	Arabic	nile	desert	B	MOVIE
4	Which railway border station Szob leads to our neighboring state?	Croatia	Slovakia	Romania	Slovenia	B	GEOGRAPHY
5	What fate is in the title of Solohov's novel?	vindictive	human	thinking	unpredictable	B	LITERATURE
6	The Latin name for which chemical element is plumbum?	you	platinum	lead	hydrogen	C	SCIENCE
7	In which modern-day state is Waterloo located?	Great Britain	Belgium	Germany	The Netherlands	B	GEOGRAPHY
8	What kind of sauce are the meats prepared in the Bakony way?	sausage	mushroomy	green peas	hepatic	B	KITCHEN
9	According to the Bible, how old was Sarah when she gave birth to Isaac?	75	90	120	333	B	RELIGION
10	Which actress-singer won an Oscar for her performance in the movie "Moon Sicks"?	Gloria Estefan	Whitney Houston	Madonna	Cher	D	MOVIE
11	Which artist created during the quattrocento period?	Giotto	Donatello	Bernini	Tintoretto	B	ART
1	What beats a pig, according to the well-known saying?	lot of fat	a lot of bulls	many geese	many piglets	C	LANGUAGE
2	What kind of vegetable is called that is made from peas and vegetables?	tasty	fine	squeamish	crap	B	KITCHEN
3	What vehicle is in the title of the well-known Krudy work?	blue conflis	brown hero	red mail van	yellow Submarine	C	LITERATURE
4	What is the title of one of Rodolfo's books?	Beware, cheats!	Illusion is my love	Beware, Dazzle!	Just watch my hand!	A	GENERAL
5	What is the full title of Robert Koltai's film: "Football, or..."	Workers fist, iron fist	Like the squirrel up the tree	Long live the first of May!	Brother Puskas is the king	C	MOVIE
6	The former port of Fiume is located in the territory of which present-day country?	Bosnia and Herzegovina	Slovenia	Croatia	Italy	C	GEOGRAPHY
7	According to the Bible, in which city did Jesus grow up?	Jerusalem	Bethlehem	Jericho	Nazareth	D	RELIGION
8	What kind of love did Manuel de Falla write a ballet about?	secret	magic	sore	happy	B	ART
9	According to Greek mythology, Agamemnon was the king of which city?	Sparta	Mycenae	Pylos	Mytilene	B	RELIGION
1	How much bigger was the mosquito I caught according to the verse?	at a sideboard	at a horse	at a mountain	at a house	B	LANGUAGE
2	How many public appearances of an actor are called debuts?	first	centuries	five hundredths	thousandths	A	THEATER
