Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
4	Kiknek a gyulekezo- es temetkezohelyei voltak a katakombak?	egyiptomi rabszolgak	elso keresztenyek	romai arisztokratak	kozepkori szerzetesek	B	ToRTeNELEM
5	Hol volt gimnaziumi tanar Arany Janos?	Nagyszalontan	Kisujszallason	Nagykoroson	Aradon	C	IRODALOM
6	Melyik varosunkban latogathato meg a Balassi Balint Muzeum?	Esztergomban	Tatan	Egerben	Gyorott	A	MAGYARORSZaG
7	Ki a foszereploje Jean-Luc Godard Kifulladasig cimu filmjenek?	Alain Delon	Jean-Paul Belmondo	Pierre Richard	Gerard Depardieu	B	FILM
8	Melyik olimpiai bajnoknonk nem atletikaban szerzett aranyermet?	Gyarmati Olga	Keleti agnes	Kadarne Csak Ibolya	Nemeth Angela	B	SPORT
9	Melyik varosban alakult meg a NATO 1949-ben?	Brusszelben	Washingtonban	Parizsban	New Yorkban	B	ToRTeNELEM
10	Melyik hires ironk eredeti neve Brenner Jozsef?	Tomorkeny Istvan	Csath Geza	Marai Sandor	Rejto Jeno	B	IRODALOM
1	Melyik szo jelolt egy csizmafajtat?	primas	ramas	rampas	rakoncas	B	NYELV
2	Melyik szervunknek van gyokere es koronaja?	szem	sziv	fog	ful	C	BIOLoGIA
3	Milyen szekrenyrol irt vigoperat Farkas Ferenc?	huto	pancel	tukros	buvos	D	OPERA
4	Melyik allat nem kerodzo?	kecske	zsiraf	tapir	szarvasmarha	C	BIOLoGIA
5	Melyik bibliai varosba kuldte az ur Jonast, hogy lakoit bunbanatra intse?	Ninive	Jeriko	Szodoma	Jeruzsalem	A	VALLaS
1	Mi a masik neve a ketszemelyes agynak?	poroszagy	spartaiagy	franciaagy	svedagy	C	aLTALaNOS
2	Milyen a korhely ferfi?	otthonulo	mulatozo	nagyon idos	goromba	B	NYELV
3	Melyik italiai varosban lathatjuk a Circus Maximus okori romjait?	Milano	Taranto	Napoly	Roma	D	ToRTeNELEM
4	Melyik egy furesztipus?	rokafarku	vizslaszoru	macskabajszu	egerfogu	A	aLTALaNOS
5	Mi a foglalkozasa Papagenonak Mozart: A varazsfuvola cimu operajaban?	madarasz	halasz	vadasz	kanasz	A	OPERA
6	Melyik megyenkben talalhato Szentes varosa?	Bekes	Heves	Csongrad	Tolna	C	MAGYARORSZaG
7	Kije volt a miniszterelnok Tisza Kalmannak a miniszterelnok Tisza Istvan?	apja	fia	unokatestvere	testvere	B	ToRTeNELEM
8	Ki irt egyfelvonasos szinmuvet Dunakanyar cimen?	Karinthy Ferenc	orkeny Istvan	Illes Endre	Sarkadi Imre	A	IRODALOM
1	Melyik egy kiflivel es virslivel keszitett etel neve?	bulldog	dan dog	hot dog	pitbull	C	KONYHA
2	Milyen rovar a tropusokon elo moszkito?	hangya	poloska	szunyog	szitakoto	C	BIOLoGIA
3	Milyen kozlekedesi eszkoz szerepel a Fonograf egyuttes egyik dalanak cimeben?	az utolso metro	az elso villamos	az eltevedt troli	a lerobbant busz	B	ZENE
4	Mit neveznek Oroszorszagban dacsanak?	vonos hangszert	nyaralot	ketlovas szant	sziberiai rokat	B	NYELV
5	Melyik film folytatasa Ridley Scott Hannibal cimu filmje?	A nyolcadik utas: a halal	A baranyok hallgatnak	Gladiator	Hetedik	B	FILM
6	Melyik orszag valogatottja nyerte a 2001. evi noi vizilabda Europa-bajnoksagot?	Jugoszlavia	Magyarorszag	Olaszorszag	Hollandia	B	SPORT
7	Melyik hires tudosrol irt dramat Nemeth Laszlo?	Newton	Galilei	Darwin	Linne	B	IRODALOM
8	Melyik elveszett allatrol szol Jezus egyik peldabeszede?	szamar	kutya	barany	diszno	C	VALLaS
9	Mely orszagbol szarmazott a neves festo, Edvard Munch?	Anglia	Svedorszag	Norvegia	Skocia	C	MuVeSZET
10	Ki volt az 1837-ben megnyilt Pesti Magyar Szinhaz elso igazgatoja?	Csiky Gergely	Bajza Jozsef	Szigligeti Ede	Paulay Ede	B	SZiNHaZ
11	Ki nem tartozott a filmkomikus Marx testverek koze?	Groucho	Harold	Chico	Harpo	B	FILM
12	Melyik orszagban szuletett a vilaghiru gitaros, Carlos Santana?	Brazilia	USA	Mexiko	Kuba	C	ZENE
1	Ki kuzd meg a bikaval a bikaviadalon?	konkvisztator	torreador	inkvizitor	terminator	B	aLTALaNOS
2	Milyen kepzomuveszeti alkotas az akvarell?	vizfestmeny	olajfestmeny	rezkarc	fametszet	A	KePZoMuVeSZET
3	Mi volt a torok nagyvezir hivatalanak elterjedt europai elnevezese?	vilajet	porta	szeraj	turbe	B	ToRTeNELEM
4	Melyik palyan rendezik meg a Forma 1-es versenyautok Olasz Nagydijat?	Interlagos	Monza	Imola	Monte Carlo	B	SPORT
5	Kik a hosei a Haho, ocsi! cimu mesefilmnek?	Berzsian es Dideki	Vacskamati es Mikkamakka	Kokojszi es Bobojsza	Lolka es Bolka	C	FILM
6	Melyik szinpadi mu szereploje Falstaff?	A salemi boszorkanyok	A windsori vig nok	Macbeth	A fosveny	B	IRODALOM
1	Mi a muveszneve napjaink nepszeru buveszenek, aki "athatolt" a Kinai Nagy Falon is?	Tom Sawyer	David Copperfield	Twist Oliver	Maugli	B	aLTALaNOS
2	Milyen "allatkak" tartoznak az egysejtuek koze?	mamusz	papucs	bocskor	mokaszin	B	BIOLoGIA
3	Melyik a kanaszta nevu kartyajatekban hasznalt kifejezes?	jegeles	fagyasztas	olvasztas	forralas	B	JaTeK
4	Mely telepules nevezetessege a Rakoczi-var?	Eperjes	Sarospatak	Kesmark	Bartfa	B	MAGYARORSZaG
5	Melyik egy szigoru szabalyok szerint szerkesztett, virtuoz versciklus elnevezese?	balladafuzes	szonettkoszoru	dalcsokor	odavirag	B	IRODALOM
6	Zomeben milyen mutargyakbol allt Hopp Ferenc magyar allamnak adomanyozott gyujtemenye?	italiai reneszansz	francia impresszionista	tavol-keleti	kozep-afrikai	C	MuVeSZET
1	A haz melyik reszerol kapta nevet a szajureg felso boltozata?	teto	pince	kemeny	padlas	D	BIOLoGIA
2	Melyiket merik a traffipaxszal?	a vezeto alkoholszintjet	a gepjarmuvek sebesseget	a kipufogogaz osszetetelet	a gumiabroncs kopasallosagat	B	aLTALaNOS
3	Melyik szinhaz tagja volt 1951-tol halalaig Ruttkai eva?	Nemzeti Szinhaz	Vigszinhaz	Madach Szinhaz	Jozsef Attila Szinhaz	B	SZiNHaZ
4	Hogyan halt meg Danton?	utcai harcokban elesett	balesetet szenvedett	kivegeztek	megmergeztek	C	ToRTeNELEM
5	Melyik muveszeti ag kepviseloje Cameron Diaz?	festo	szobrasz	szinesz	enekes	C	MuVeSZET
6	Melyik sportagban nyert aranyermet Farkas Peter az 1992-es barcelonai olimpian?	okolvivas	birkozas	ottusa	cselgancs	B	SPORT
7	Mit csinalnak az olaszok a cannellonival?	megeszik	utaznak rajta	zenelnek vele	megisszak	A	NYELV
8	Hogyan szol Francoise Sagan ismert muvenek cime? "Szereti on …?"	Mozartot	Schubertet	Bachot	Brahmsot	D	OPERA
9	Melyik varosban jatszodik Puccini: Turandot cimu operaja?	Pekingben	Sevillaban	Parizsban	Bostonban	A	ZENE
10	Melyik allatnev elotagja lehet meg a pezsma a pockon kivul?	raja	szarvas	mokus	godeny	B	BIOLoGIA
11	Kinek a tanitvanya volt Rippl-Ronai Jozsef?	Paal Laszlo	Munkacsy Mihaly	Benczur Gyula	Szekely Bertalan	B	MuVeSZET
1	Mit csinal a mondas szerint az, aki ugy probalkozik, hogy meg nem latja a helyes megoldast?	pinceben botorkal	sotetben tapogatozik	lampas nelkul barlangaszik	faklyatlan motoz	B	NYELV
2	Melyik madarnev irasmodja helytelen?	karvaly	siraly	papagaly	golya	C	NYELV
3	Melyik orzi a francia Recamier asszony nevet?	egy fekvobutor	egy textilfajta	egy hajotipus	egy kartyajatek	A	NYELV
4	Melyik varos kapta meg a 2008. evi nyari olimpiai jatekok rendezesi jogat?	Toronto	Parizs	Athen	Peking	D	SPORT
5	Ki volt regen a varosi kocsmak italmeresenek felugyeloje?	sontesmester	borbiro	csardakomisszar	sernagy	B	aLTALaNOS
6	Mi a cime Marco Ferreri hires botranyfilmjenek: "A nagy …"	pialas	balhe	zabalas	kurtizan	C	FILM
7	Melyik orszag koztarsasagi elnoke volt a merenylet aldozataul esett Anvar Szadat?	Sziria	Egyiptom	Szudan	Fulop-szigetek	B	ToRTeNELEM
8	Hogyan neveztek a lapos videken halaszo, vadaszo, madaraszo ferfiakat?	pakasz	kolompar	ordonanc	goloncser	A	aLTALaNOS
9	Melyik enekes volt a Scampolo egyuttes alapito tagja?	Revesz Sandor	Moricz Mihaly	Komar Laszlo	Szigeti Ferenc	C	ZENE
10	Milyen allat Bandi Orwell allatfarm cimu regenyeben?	diszno	lo	kecske	szamar	B	IRODALOM
11	Melyik varos kiralya a mondabeli Sziszuphosz?	Szmurna	Eleuszisz	Korinthosz	Miletosz	C	IRODALOM
12	A felsoroltak kozul melyik zeneszerzot nem soroljuk a becsi klasszicizmus alkotoi koze?	Mozart	Haydn	Mahler	Beethoven	C	OPERA
1	Melyik volt a neve Thor Heyerdahl egyik legendas expediciojanak?	Riki-Tiki-Tevi	Kon-Tiki	King Kong	Ku-Kori	B	aLTALaNOS
2	Milyen mazzal vonjak be az islert?	karamella	csokolade	marcipan	puncs	B	KONYHA
3	Milyen embert nevezett a nepnyelv szavajatszonak?	koltoi venajut	ekesszolasut	megbizhatatlant	tragart	C	NYELV
4	Hogyan nevezik az oskortol hasznalt, hazankbon is atvezeto kereskedelmi utvonalat?	kenderut	borostyanut	selyemut	ercut	B	ToRTeNELEM
5	Melyik hangszer vilaghiru muvesze volt Fischer Annie?	hegedu	gordonka	harfa	zongora	D	OPERA
6	Kik ellen gyozedelmeskedtek Montecuccoli csapatai Szentgotthardnal?	poroszok	franciak	torokok	osztrakok	C	ToRTeNELEM
7	Mi a cime Sophie Marceau elso filmjenek?	Huhogok	Hazibuli	D' Artagnan lanya	Macskajaj	B	FILM
8	Az alabbiak kozul mire hasznaljak a hennat?	hajozasra	ragasztogyartasra	haj- es testfestesre	szonyegszovesre	C	aLTALaNOS
9	Mit jelent George W. Bush amerikai elnok neveben a "W"' betu?	Walker	Winston	William	Walter	A	aLTALaNOS
1	Melyik baromfi nevet viseli a puskak elsuto szerkezetenek rugos eleme?	liba	pulyka	kakas	gyongytyuk	C	aLTALaNOS
2	Milyen eszkozt neveztek a nepnyelvben sajtarnak?	egyfulu edenyt	kisebb fokost	kopulokanalat	faragott ujsagtartot	A	aLTALaNOS
3	Hany karatos a szinarany?	18	20	24	42	C	TUDOMaNY
4	Melyik nem Tisza-parti varos az alabbiak kozul?	Tokaj	Zahony	Kiskore	Jaszbereny	D	FoLDRAJZ
1	Milyen mesenek nevezik az atlatszo hazugsagot?	baba	dajka	au-pair	baby-sitter	B	aLTALaNOS
2	Mibol keszul a chips?	kukoricabol	burgonyabol	mogyorobol	gesztenyebol	B	KONYHA
3	Az alabbiak kozul melyik kifejezes illik a szangvinikus emberre?	lobbanekony	hidegveru	melabus	megfontolt	A	NYELV
4	Melyik tengerben vagy oceanban talalhato Mallorca szigete?	Foldkozi-tenger	Csendes-ocean	Adriai-tenger	Atlanti-ocean	A	FoLDRAJZ
5	Melyik orszagban szuletett Federic Chopin?	francia	lengyel	orosz	osztrak	B	OPERA
6	Melyik europai allam uralkodoi a Grimaldik?	Belgium	Spanyolorszag	Monaco	Norvegia	C	ToRTeNELEM
1	Mit asnak el a bekulo indianok a mondas szerint?	veres nyerget	harci tolldiszt	csatabardot	skalpolo tort	C	NYELV
2	Melyik szo jelent bohocot, paprikajancsit?	hektor	harlekin	hippia	hippodrom	B	NYELV
3	Melyik orszag teruleten talalhato a Bretagne-felsziget?	Kanada	Belgium	Franciaorszag	Spanyolorszag	C	FoLDRAJZ
4	Kinek a hivasara ter haza Bank ban a drama elejen?	Gertrud	Melinda	Petur ban	Tiborc	C	IRODALOM
5	Az alabbiak kozul melyik lehet szeladon?	egy kihalt osleny	egy ifju udvarlo	egy hatalmas kutya	egy hamvas hajadon	B	NYELV
6	Ki volt az utolso elotti arpad-hazi kiraly?	III. Laszlo	IV. Bela	IV. Laszlo	III. Andras	C	ToRTeNELEM
7	Melyik olimpian lett eloszor olimpiai bajnok a magyar labdarugo valogatott?	1952-es helsinki	1960-as romai	1964-es tokioi	1968-as mexikovarosi	A	SPORT
8	Ki rendezte az olasz neorealista film klasszikusat, a Roma nyilt varos cimu filmet?	Federico Fellini	Roberto Rossellini	Vittorio De Sica	Michelangelo Antonioni	B	FILM
1	Milyen Edward kiraly A walesi bardok cimu versben?	kese	fako	gebe	santa	B	IRODALOM
2	Hogyan szokas nevezni egyes kozep-amerikai orszagokat?	narancskiralysagok	banankoztarsasagok	citromdiktaturak	ananaszmonarchiak	B	ORSZaGOK
3	Milyen vasarnapnak nevezzuk a karacsonyt kozvetlenul megelozo utolso vasarnapot?	marvany	arany	gyemant	platina	B	VALLaS
4	Mi a klubszine az ujpesti TE sportegyesuletnek?	kek-feher	piros-kek	zold-feher	lila-feher	D	SPORT
5	Melyik nem radioaktiv elem az alabbiak kozul?	magnezium	polonium	uran	radium	A	TUDOMaNY
6	Mirol kapta a nevet a parmezan sajt?	olasz varosrol	tehenfajtarol	szerzetesrendrol	sziciliai hegyrol	A	KONYHA
7	Melyik varosban talalhato a Pergamon Muzeum?	Athen	Berlin	Becs	Parizs	B	ORSZaGOK
8	Melyik enekesno jatszott "Az eastwicki boszorkanyok" cimu filmben?	Madonna	Whitney Houston	Cher	Suzanne Vega	C	FILM
9	Kirol irt anekdotas konyvet az olasz humanista, Galeotto Marzio?	Cesare Borgiarol	Leonardorol	Janus Pannoniusrol	Matyas kiralyrol	D	IRODALOM
10	Mivel foglalkoztak a trapperek?	lovak betoresevel	premvadaszattal	aranymosassal	dohanytermesztessel	B	aLTALaNOS
11	Milyen allat nevet viselte a holdkomp, amelybol az elso ember a Holdra lepett?	solyom	sas	bagoly	albatrosz	B	aLTALaNOS
12	Melyik evben lepett be Magyarorszag az ENSZ-be?	1955	1949	1945	1958	A	ToRTeNELEM
1	Melyik a gyogynovenyek kivonataval fuszerezett szeszes italok elnevezese?	epeedes	gyomorkeseru	majsavanyu	gegemaro	B	aLTALaNOS
2	Hogyan folytatodik a mondas? "Ahany haz, annyi …"	ado	gazdasszony	szokas	kamra	C	NYELV
3	Melyik vizimadar az alabbiak kozul?	cser	csiz	csoka	csicsorke	A	BIOLoGIA
4	Melyik egyuttes enekelt a "Regi csibeszek"-rol?	Illes	General	Omega	Hungaria	C	ZENE
5	Az alabbi europai miniallamok kozul melyik koztarsasag?	San Marino	Andorra	Monaco	Liechtenstein	A	ORSZaGOK
6	Mit szeret olvasni, aki gyakran forgat poliglottokat?	tobbkotetes konyveket	tobbnyelvu konyveket	barkacskonyveket	gyermekkonyveket	B	NYELV
1	Melyik egy nepszeru vasari arusitohely neve?	joskaposta	sandorsator	orzsefozde	lacikonyha	D	aLTALaNOS
2	Hogyan neveztek a parbajok szabalyainak osszesseget?	parbajkatalogus	parbajkodex	parbajbrosura	parbajindex	B	aLTALaNOS
3	Milyen allat a Micimackoban szereplo Fules?	nyul	szamar	elefant	spaniel	B	IRODALOM
4	Melyik mai allam teruleten talalhato a hires romvaros, Machu Picchu?	Kolumbia	Peru	Chile	Brazilia	B	ToRTeNELEM
5	Ki irta a Fur Elise cimu zongoradarabot?	Schubert	Beethoven	Chopin	Mozart	B	OPERA
6	Az alabbi varosok kozul melyikben rendeztek csak egyszer olimpiat?	Roma	London	Parizs	Los Angeles	A	SPORT
1	Mijet nem mozditja az az ember, aki ugy tesz, mintha semmit se hallott volna?	szeme csipajat	orcaja szeploit	fule botjat	foga feherjet	C	aLTALaNOS
2	Milyen ital a tramini?	buzasor	bor	rum	narancsle	B	KONYHA
3	Ki a tenger istene a romai mitologiaban?	Neptunus	Mercurius	Pluto	Saturnus	A	VALLaS
4	Melyik szervunk fertozo betegsege a hepatitis?	sziv	vese	tudo	maj	D	BIOLoGIA
5	Melyik orszag kommunista partjanak volt elso embere Enver Hodzsa?	Albania	Sziria	Torokorszag	Bulgaria	A	ToRTeNELEM
6	Melyik egyuttes enekelte, hogy : "Nehez a boldogsagtol bucsut venni."?	Apostol	Bergendy	Corvina	Dinamit	A	ZENE
7	Melyik kemiai elem nem szerepel az alabbiak kozul a saletromsavban?	oxigen	klor	nitrogen	hidrogen	B	TUDOMaNY
8	Mi Nemo kapitany nevenek jelentese?	senki	ismeretlen	nevtelen	rejtozkodo	A	IRODALOM
1	Milyen mama szerepel az ismert Brecht-darab cimeben?	Kivancsi	Kurazsi	Stelazsi	Balazsy	B	IRODALOM
2	Miket elemez egy grafologus?	elettani jelensegeket	termeszeti jelensegeket	iraskepeket	fantomkepeket	C	aLTALaNOS
3	Mi Konstantinapoly mai neve?	Ankara	Izmir	Szmirna	Isztambul	D	ToRTeNELEM
4	Melyik egyuttes nagy slagere volt a "Yesterday" cimu dal?	Beatles	Rolling Stones	Bee Gees	Beach Boys	A	ZENE
5	Melyik francia koztarsasagi elnokrol neveztek el muveszeti es kulturalis kozpontot Parizsban?	Charles de Gaulle	Georges Pompidou	Francois Mitterand	Jacques Chirac	B	aLTALaNOS
6	Melyik filmhos apja Darth Vader?	James Bond	Luke Skywalker	Han Solo	Superman	B	FILM
7	Melyik atletikai versenyszam nem szerepelt soha az okori olimpiakon?	tavolugras	gerelyhajitas	magasugras	diszkoszvetes	C	SPORT
1	Hogyan nevezik kedveskedve a buntetest erdemlo gyerekeket?	rozsaszirom	makvirag	pipacsporzo	barackbibe	B	aLTALaNOS
2	Milyen rovar szerepel Petofi Szulofoldemen cimu verseben?	sarga cserebogar	pettyes katicabogar	zugo eji bogar	skarlat skarabeusz	A	IRODALOM
3	Az alabbiak kozul ki nem sakkozo Polgar-lany?	Anna	Judit	Zsuzsa	Zsofia	A	aLTALaNOS
4	A Naprendszer melyik egitestet nevezik "voros bolygonak"?	Jupiter	Venusz	Mars	Merkur	C	TUDOMaNY
5	Hol oshonos a napraforgo?	Europaban	Amerikaban	Afrikaban	azsiaban	B	BIOLoGIA
6	Kik voltak Fokvaros alapitoi?	nemet gyarmatositok	portugal hajosok	holland kereskedok	angol kalozok	C	ToRTeNELEM
1	Mit csinal a ketelkedo ember a mondas szerint?	pistaskodik	tamaskodik	peterkedik	sanyiskodik	B	aLTALaNOS
2	Hany jatekos jatszhatja egyszerre a rabloultit?	harom	negy	ot	hat	A	JaTeK
3	Melyik varosban feszitettek keresztre Jezust?	Betlehemben	Jeruzsalemben	Romaban	Nazaretben	B	VALLaS
4	Hol tarolja a szamitogep a programokat?	a memoriterben	a memoriaban	a memoarban	a memorandumban	B	TECHNIKA
5	Melyik sportagban nyert vilagbajnoksagot 1972-ben Monspart Sarolta?	ijaszat	tekezes	evezes	tajfutas	D	SPORT
6	Ki nem volt alapito tagja a Locomotiv GT egyuttesnek?	Laux Jozsef	Barta Tamas	Freinreisz Karoly	Somlo Tamas	D	ZENE
7	Melyik vallas unnepe a purim?	iszlam	kereszteny	buddhista	zsido	D	VALLaS
8	Melyik mai orszag teruleten talalhato a tortenelembol ismert Drinapoly?	Gorogorszag	Torokorszag	Olaszorszag	Jugoszlavia	B	ToRTeNELEM
1	Melyik allat ismert fajai a javor-, gim- es ren-?	teknos	pingvin	bolha	szarvas	D	BIOLoGIA
2	Milyen kozismert elelmiszerfajta viseli a csecsi jelzot?	szalonna	szalami	turo	sajt	A	KONYHA
3	Melyik szin nem szerepel Romania zaszlajaban?	kek	sarga	voros	zold	D	ORSZaGOK
4	Melyik kemiai elem latin elnevezese a karbon?	kalcium	szen	ken	rez	B	TUDOMaNY
5	Ki nem osztrak zeneszerzo az alabbiak kozul?	Schubert	Britten	Mahler	Haydn	B	OPERA
6	Melyik evben lett Magyarorszag a NATO teljes jogu tagja?	1995-ben	1997-ben	1999-ben	2001-ben	C	ToRTeNELEM
7	Melyik nep egyik ismert kepviseloje volt Voros Erik, a felfedezo?	szard	kelta	viking	frank	C	ToRTeNELEM
8	Melyik egyuttes alapito tagja volt Jim Morrison?	Genesis	Pink Floyd	Queen	Doors	D	ZENE
9	Melyik afrikai orszagban talalhato a Teleki-vulkan?	Tanzania	Kenya	Szudan	Nigeria	B	FoLDRAJZ
10	Mennyi az a "harmadfel"?	masfel	harom es fel	ketto es fel	negy es fel	C	aLTALaNOS
1	Hany ejszakan at meselt Seherezade a mesegyujtemeny cime szerint?	998	999	1000	1001	D	IRODALOM
2	Milyen munkat vegeztek a summasok?	penzugyi	mezogazdasagi	pedagogiai	kezmuvesipari	B	NYELV
3	Melyik sportagban szakitanak es loknek?	sulyemeles	teke	birkozas	torna	A	SPORT
4	Melyik hos szerepet jatszotta el filmen George Clooney?	Robin Hood	Batman	Dick Tracy	Superman	B	FILM
5	A matematikanak melyik aga foglalkozik a szogfuggvenyekkel?	algebra	trigonometria	fuggvenytan	kombinatorika	B	TUDOMaNY
6	Melyik magyar varost nevezik "kalvinista Romanak"?	Szegedet	Sarospatakot	Papat	Debrecent	D	MAGYARORSZaG
7	Ki irt szimfonikus koltemenyt Mazepparol, a kozak hadvezerrol?	Rimszkij-Korszakov	Liszt Ferenc	Muszorgszkij	Richard Strauss	B	OPERA
8	Ki alapitotta a francia becsuletrendet?	XIV. Lajos	Napoleon	Lajos Fulop	IV. (Navarrai) Henrik	B	ToRTeNELEM
1	Hogyan fejezi ki a mondas, hogy valaki hozzank tartozik?	a mi medvenk bocsa	a mi tehenunk borja	a mi tyukunk csibeje	a mi kutyank kolyke	D	NYELV
2	Mely allatok mesterseges lakasa a kaptar?	mehek	dongok	darazsak	selyemlepkek	A	BIOLoGIA
3	Mit csinal az, aki dzsiggel?	kartyazik	hajozik	tancol	lovagol	C	NYELV
4	Melyik orszaghoz tartozik Korfu szigete?	Olaszorszag	Torokorszag	Spanyolorszag	Gorogorszag	D	FoLDRAJZ
5	Mit kert a szalloige szerint Goethe a halalos agyan?	egy pohar vizet	feloldozast	hatalmat a nepnek	tobb fenyt	D	IRODALOM
6	Melyik nem a Duna mellekfolyoja az alabbiak kozul?	Raba	Hernad	Sio	Ipoly	B	FoLDRAJZ
7	Melyik filmjevel valt vilaghiruve Marlene Dietrich?	A kek angyal	Szoke Venusz	A vad tanuja	A nosteny ordog	A	FILM
8	Melyik szerzo irt zenedarabot Az allatok farsangja cimmel?	Prokofjev	Richard Strauss	Rimszkij-Korszakov	Saint-Saens	D	OPERA
1	Melyik egy mergezo gombafaj neve?	szunyogirto galoca	legyolo galoca	pillangopusztito galoca	gyikgyilkolo galoca	B	BIOLoGIA
2	Melyikbol van a torveny altal megengedettnel tobbje annak, aki bigamiat kovet el?	hazbol	bankszamlabol	hazastarsbol	utlevelbol	C	aLTALaNOS
3	Melyikre hasznaljak a pacsuliolajat?	illatszergyartasra	fozesre	vilagitasra	festekek keszitesere	A	aLTALaNOS
4	Mit neveztek eleink arendanak?	papi ruhat	vekony gerendat	haszonberletet	csendorseget	C	NYELV
5	Mi Vietnam fovarosa?	Phenjan	Hanoi	Ho Si Minh-varos	Hai Phong	B	ORSZaGOK
6	Melyik mitologiaban talalkozhatunk bacchansnokkel?	hindu	german	romai	kelta	C	VALLaS
7	Milyen epitmeny a kutrica?	kukoricatarolo	feszer	titkos palinkafozde	ol	D	NYELV
8	Milyen neven valt hiresse Beethoven Cisz-moll szonataja?	Napsugar	Lidercfeny	Szelvihar	Holdfeny	D	OPERA
9	Mi a cime William Friedkin klasszikus horrorfilmjenek?	Satantango	Az ordoguzo	A legy	A kod	B	FILM
1	Milyen malacnak nevezik a lakasban is tartott kis allatot?	folyami	tengeri	tavi	csatornai	B	BIOLoGIA
2	Mit vesz, aki veknit vasarol?	kenyeret	szalamit	orat	faedenyt	A	NYELV
3	Melyik rockoperaban hangzik el a "Te kit valasztanal?" kezdetu dal?	Sztarcsinalok	Attila	Istvan, a kiraly	Jezus Krisztus szupersztar	C	ZENE
4	Melyik fem latin neve az aurum?	arany	aluminium	ezust	rez	A	TUDOMaNY
5	Melyik nem azsiai fovaros az alabbiak kozul?	Colombo	Kartum	Damaszkusz	Islamabad	B	ORSZaGOK
1	Hogy nevezik az ugyetlen vadaszt?	artanyvadasz	kocavadasz	kappanvadasz	uruvadasz	B	NYELV
2	Hogyan nevezzuk a derekszogu haromszog melletti oldalait?	atfogo	befogo	tengely	szelo	B	TUDOMaNY
3	Mi a cime Jim Carrey es Cameron Diaz kozos filmvigjatekanak?	Az alarc	A maskara	A maszk	A buso	C	FILM
4	Melyik egyuttes tartotta bucsukoncertjet a Nyugati palyaudvaron?	Piramis	Fonograf	Lokomotiv GT	V' Moto-Rock	C	ZENE
5	Hogy hivtak az Aranycsapat szovetsegi kapitanyat?	Illovszky Rudolf	Baroti Lajos	Sebes Gusztav	Hoffer Jozsef	C	SPORT
6	Honnan kerultek a Karpat-medencebe az elso komondorok?	eszak-Amerikabol	azsiabol	Skandinaviabol	Skociabol	B	BIOLoGIA
7	Melyik megyenkben talalhato a tavasbarlangjarol hires Tapolca?	Veszprem	Somogy	Nograd	Baranya	A	MAGYARORSZaG
1	Mije sincs a dolgok allasarol a mondas szerint a tudatlan embernek?	fustje	goze	buborekja	paraja	B	aLTALaNOS
2	Melyik allat betegsege a kehesseg?	kutya	macska	lo	juh	C	BIOLoGIA
3	Melyik foldreszrol enekelt Varga Miklos a 80-as evekben?	Afrika	Europa	Amerika	azsia	B	ZENE
4	Hogy nevezik a kukorica porzos viragzatat?	cimer	csuhe	gubo	bajusz	A	BIOLoGIA
5	Milyen anyagbol keszul a mitologia szerint eletre keltheto oriasszobor, a golem?	bronz	marvany	agyag	fa	C	VALLaS
6	Melyik kemiai elem nem szerepel az alabbiak kozul a saletromsavban?	oxigen	klor	nitrogen	hidrogen	B	TUDOMaNY
